video,signer_id,cluster_index,distance,has_face
D0530.mp4,003,2,0.021392,True
D0531.mp4,003,2,0.021609,True
D0532.mp4,003,2,0.020442,True
D0533.mp4,003,2,0.022350,True
D0534.mp4,003,2,0.022617,True
D0535N.mp4,003,2,0.027944,True
D0536.mp4,003,2,0.025396,True
D0537.mp4,003,2,0.030495,True
D0538.mp4,003,2,0.024052,True
D0489.mp4,003,2,0.028574,True
D0492.mp4,003,2,0.029024,True
D0493.mp4,003,2,0.030923,True
D0494.mp4,003,2,0.031714,True
D0496.mp4,003,2,0.026750,True
D0521.mp4,003,2,0.019995,True
D0498N.mp4,003,2,0.028770,True
D0500N.mp4,003,2,0.027202,True
D0501.mp4,003,2,0.020504,True
D0522.mp4,003,2,0.022782,True
D0502.mp4,003,2,0.026005,True
D0503.mp4,003,2,0.035032,True
D0504.mp4,003,2,0.023382,True
D0505.mp4,003,2,0.024505,True
D0506.mp4,003,2,0.034694,True
D0509N.mp4,003,2,0.022595,True
D0510.mp4,003,2,0.030013,True
D0511.mp4,003,2,0.028428,True
D0512.mp4,003,2,0.028693,True
D0513N.mp4,003,2,0.019634,True
D0514.mp4,003,2,0.059387,True
D0516.mp4,003,2,0.027773,True
D0523.mp4,003,2,0.022250,True
D0517N.mp4,003,2,0.029765,True
D0518N.mp4,003,2,0.031595,True
D0519.mp4,003,2,0.024356,True
D0491N.mp4,003,2,0.027819,True
D0497N.mp4,003,2,0.029017,True
D0507N.mp4,003,2,0.022466,True
D0490N.mp4,003,2,0.029897,True
D0495.mp4,003,2,0.026292,True
D0508N.mp4,003,2,0.026119,True
D0515N.mp4,003,2,0.050026,True
D0539.mp4,003,2,0.027961,True
D0540N.mp4,003,2,0.020220,True
D0541N.mp4,003,2,0.026427,True
D0542N.mp4,003,2,0.037631,True
D0543N.mp4,003,2,0.024925,True
D0544.mp4,003,2,0.027813,True
D0545.mp4,002,1,0.053680,True
D0546N.mp4,003,2,0.019537,True
D0547.mp4,003,2,0.027284,True
W00814.mp4,004,3,0.065595,True
W00110N.mp4,005,4,0.077380,True
W02166.mp4,004,3,0.039013,True
W03090.mp4,002,1,0.023850,True
W00362.mp4,001,0,0.033654,True
W02848.mp4,002,1,0.029669,True
W00824.mp4,004,3,0.084584,True
W00815.mp4,004,3,0.072113,True
D0153N.mp4,001,0,0.056012,True
W00014N.mp4,004,3,0.030716,True
D0152N.mp4,001,0,0.051618,True
W00822.mp4,004,3,0.039004,True
W04073.mp4,001,0,0.030268,True
W02173.mp4,004,3,0.040759,True
W02259.mp4,004,3,0.021155,True
D0146.mp4,002,1,0.045573,True
W02974.mp4,002,1,0.039981,True
W03480.mp4,002,1,0.046415,True
W03876.mp4,004,3,0.048763,True
D0147.mp4,002,1,0.035063,True
W00097.mp4,001,0,0.030502,True
W00111N.mp4,004,3,0.025161,True
W00202.mp4,001,0,0.018404,True
W00352.mp4,004,3,0.074814,True
D0154N.mp4,001,0,0.050473,True
W00400.mp4,001,0,0.032027,True
W00429.mp4,002,1,0.067250,True
W00816.mp4,004,3,0.042777,True
W00818.mp4,004,3,0.058487,True
W00819.mp4,004,3,0.233764,True
W00830.mp4,004,3,0.082458,True
W01056.mp4,005,4,0.042409,True
W01491.mp4,001,0,0.035809,True
W01388.mp4,005,4,0.035503,True
W04070.mp4,001,0,0.024171,True
W01400.mp4,001,0,0.025474,True
D0021.mp4,001,0,0.080404,True
W01750.mp4,005,4,0.031837,True
W01951.mp4,001,0,0.024535,True
W02119.mp4,004,3,0.065916,True
D0219.mp4,002,1,0.027382,True
W02175.mp4,005,4,0.046537,True
W02171.mp4,004,3,0.044456,True
D0281.mp4,002,1,0.035775,True
D0273.mp4,002,1,0.032250,True
W02311.mp4,001,0,0.047633,True
D0278.mp4,002,1,0.033273,True
D0413.mp4,002,1,0.029184,True
W02887.mp4,002,1,0.039149,True
W02888.mp4,002,1,0.026627,True
D0428.mp4,002,1,0.049859,True
W03692.mp4,003,2,0.089787,True
W03748.mp4,003,2,0.086978,True
W03812.mp4,005,4,0.065150,True
D0105.mp4,001,0,0.110745,True
D0355.mp4,002,1,0.052096,True
D0357.mp4,002,1,0.047322,True
W01274.mp4,004,3,0.045503,True
W01141.mp4,005,4,0.034047,True
D0148.mp4,002,1,0.032348,True
W00364.mp4,002,1,0.087947,True
W00093.mp4,001,0,0.021360,True
W00112N.mp4,004,3,0.036160,True
D0036.mp4,001,0,0.058154,True
W00582.mp4,001,0,0.050039,True
W00525.mp4,004,3,0.058586,True
W00523.mp4,001,0,0.031545,True
W00671.mp4,005,4,0.050314,True
W00640.mp4,001,0,0.041183,True
W00410.mp4,001,0,0.028986,True
D0149.mp4,002,1,0.040305,True
D0150.mp4,002,1,0.041393,True
W01387.mp4,005,4,0.034992,True
W01393.mp4,001,0,0.041567,True
W01536.mp4,001,0,0.025564,True
W01777.mp4,005,4,0.032608,True
