video,signer_id,cluster_index,distance,has_face
D0002.mp4,001,0,0.052666,True
D0004.mp4,001,0,0.048720,True
D0008.mp4,001,0,0.048305,True
D0011.mp4,001,0,0.055789,True
D0012.mp4,001,0,0.053126,True
D0018.mp4,001,0,0.075477,True
D0021.mp4,001,0,0.079443,True
D0022.mp4,001,0,0.085325,True
D0023.mp4,001,0,0.097449,True
D0024N_c1.mp4,002,1,0.032870,True
D0024N_c2.mp4,002,1,0.045020,True
D0031N.mp4,002,1,0.065200,True
D0036.mp4,001,0,0.057751,True
D0045N.mp4,002,1,0.043255,True
D0049N.mp4,002,1,0.026233,True
D0054N.mp4,001,0,0.076763,True
D0055N.mp4,001,0,0.050420,True
D0056N.mp4,001,0,0.059146,True
D0058N.mp4,001,0,0.051111,True
D0059.mp4,001,0,0.123535,True
D0064.mp4,001,0,0.134638,True
D0067.mp4,001,0,0.107829,True
D0073.mp4,001,0,0.045083,True
D0074.mp4,001,0,0.050962,True
D0075.mp4,001,0,0.047365,True
D0077N.mp4,001,0,0.056343,True
D0089.mp4,001,0,0.044710,True
D0093.mp4,001,0,0.064766,True
D0104.mp4,001,0,0.067268,True
D0105_c1.mp4,001,0,0.080716,True
D0105_c2.mp4,001,0,0.112193,True
D0116.mp4,002,1,0.032839,True
D0117_c1.mp4,002,1,0.032457,True
D0117_c2.mp4,002,1,0.055777,True
D0117_c3.mp4,002,1,0.060476,True
D0125.mp4,002,1,0.036918,True
D0128N.mp4,002,1,0.050606,True
D0129N.mp4,002,1,0.054443,True
D0130.mp4,002,1,0.030577,True
D0131.mp4,002,1,0.037559,True
D0132.mp4,002,1,0.048558,True
D0133.mp4,002,1,0.028015,True
D0134.mp4,001,0,0.045902,True
D0135.mp4,001,0,0.041654,True
D0136.mp4,001,0,0.055959,True
D0138.mp4,001,0,0.060397,True
D0139.mp4,002,1,0.030155,True
D0140.mp4,002,1,0.040518,True
D0141.mp4,002,1,0.067205,True
D0142.mp4,002,1,0.057035,True
D0143N.mp4,002,1,0.038279,True
D0144N.mp4,002,1,0.025321,True
D0145.mp4,002,1,0.050958,True
D0146.mp4,002,1,0.044992,True
D0147.mp4,002,1,0.034848,True
D0148.mp4,002,1,0.030695,True
D0149.mp4,002,1,0.039322,True
D0150.mp4,002,1,0.040771,True
D0151N.mp4,001,0,0.059001,True
D0152N.mp4,001,0,0.051088,True
D0153N.mp4,001,0,0.057434,True
D0154N.mp4,001,0,0.050932,True
D0157N.mp4,001,0,0.064586,True
D0160.mp4,001,0,0.056793,True
D0162.mp4,001,0,0.055577,True
D0171.mp4,002,1,0.018136,True
D0172.mp4,002,1,0.049923,True
D0173.mp4,002,1,0.025102,True
D0174.mp4,002,1,0.024779,True
D0176.mp4,002,1,0.025202,True
